MGP_AJ_,Mus_musculus_(Mouse_A/J)
ENSOAN,Ornithorhynchus_anatinus_(Platypus)
ENSMMU,Macaca_mulatta_(Macaque)
MGP_WSBEiJ_,Mus_musculus_domesticus_(Mouse_WSB/EiJ)
ENSVVU,Vulpes_vulpes_(Red_fox)
ENSMIC,Microcebus_murinus_(Mouse_Lemur)
ENSCHO,Choloepus_hoffmanni_(Sloth)
ENSRBI,Rhinopithecus_bieti_(Black_snub-nosed_monkey)
ENSAHA,Apteryx_haastii_(Great_spotted_kiwi)
ENSNGA,Nannospalax_galili_(Upper_Galilee_mountains_blind_mole_rat)
ENSFDA,Fukomys_damarensis_(Damara_mole_rat)
ENSACI,Amphilophus_citrinellus_(Midas_cichlid)
ENSUMA,Ursus_maritimus_(Polar_bear)
MGP_AKRJ_,Mus_musculus_(Mouse_AKR/J)
ENSPLA,Poecilia_latipinna_(Sailfin_molly)
ENSUAM,Ursus_americanus_(American_black_bear)
ENSAME,Ailuropoda_melanoleuca_(Panda)
MGP_C57BL6NJ_,Mus_musculus_(Mouse_C57BL/6NJ)
ENSSDA,Spermophilus_dauricus_(Daurian_ground_squirrel)
ENSOGA,Otolemur_garnettii_(Bushbaby)
MGP_129S1SvImJ_,Mus_musculus_(Mouse_129S1/SvImJ)
ENSPTR,Pan_troglodytes_(Chimpanzee)
ENSEAS,Equus_asinus_asinus_(Donkey)
ENSSCA,Serinus_canaria_(Common_canary)
ENSPMJ,Parus_major_(Great_Tit)
ENSPMA,Petromyzon_marinus_(Lamprey)
ENSORL,Oryzias_latipes_(Japanese_medaka_HSOK)
ENS,Homo_sapiens_(Human)
ENSHCO,Hippocampus_comes_(Tiger_tail_seahorse)
ENSCVA,Cyprinodon_variegatus_(Sheepshead_minnow)
ENSGGO,Gorilla_gorilla_gorilla_(Gorilla)
ENSOAR,Ovis_aries_(Sheep)
ENSPMG,Periophthalmus_magnuspinnatus_(Periophthalmus_magnuspinnatus)
ENSMUN,Melopsittacus_undulatus_(Budgerigar)
ENSMLU,Myotis_lucifugus_(Microbat)
MGP_SPRETEiJ_,Mus_spretus_(Algerian_mouse)
ENSDOR,Dipodomys_ordii_(Kangaroo_rat)
ENSMFA,Macaca_fascicularis_(Crab-eating_macaque)
ENSAPL,Anas_platyrhynchos_platyrhynchos_(Duck)
ENSLCA,Lates_calcarifer_(Barramundi_perch)
ENSONI,Oreochromis_niloticus_(Tilapia)
ENSMUS,Mus_musculus_(Mouse)
ENSAOW,Apteryx_owenii_(Little_spotted_kiwi)
ENSDNV,Dromaius_novaehollandiae_(Emu)
ENSCAF,Canis_lupus_dingo_(Dingo)
ENSPEM,Peromyscus_maniculatus_bairdii_(Northern_American_deer_mouse)
ENSBTA,Bos_taurus_(Cow)
ENSSSC,Sus_scrofa_(Pig)
ENSTNI,Tetraodon_nigroviridis_(Tetraodon)
ENSTSY,Carlito_syrichta_(Tarsier)
ENSORL,Oryzias_latipes_(Japanese_medaka_HdrR)
ENSLBE,Labrus_bergylta_(Ballan_wrasse)
ENSSPA,Stegastes_partitus_(Bicolor_damselfish)
ENSAMX,Astyanax_mexicanus_(Mexican_tetra)
ENSNSU,Notechis_scutatus_(Mainland_tiger_snake)
ENSPVI,Pogona_vitticeps_(Central_bearded_dragon)
ENSNBR,Neolamprologus_brichardi_(Lyretail_cichlid)
ENSACL,Astatotilapia_calliptera_(Eastern_happy)
ENSODE,Octodon_degus_(Degu)
ENSTRU,Takifugu_rubripes_(Fugu)
ENSPCI,Phascolarctos_cinereus_(Koala)
ENSCSA,Chlorocebus_sabaeus_(Vervet-AGM)
ENSMAL,Monopterus_albus_(Swamp_eel)
ENSPAN,Papio_anubis_(Olive_baboon)
ENSPSM,Prolemur_simus_(Greater_bamboo_lemur)
ENSGAL,Gallus_gallus_(Chicken)
ENSCAB,Chelonoidis_abingdonii_(Abingdon_island_giant_tortoise)
ENSDAR,Danio_rerio_(Zebrafish)
ENSNLE,Nomascus_leucogenys_(Gibbon)
ENSPKI,Paramormyrops_kingsleyae_(Paramormyrops_kingsleyae)
ENSCCE,Cyanistes_caeruleus_(Blue_tit)
ENSBIX,Bos_indicus_x_Bos_taurus_(Hybrid_-_Bos_Indicus)
ENSAOC,Amphiprion_ocellaris_(Clown_anemonefish)
ENSELU,Esox_lucius_(Northern_pike)
MGP_C3HHeJ_,Mus_musculus_(Mouse_C3H/HeJ)
ENSUPA,Urocitellus_parryii_(Arctic_ground_squirrel)
ENSCPB,Chrysemys_picta_bellii(Painted_Sea_turtle)
FBp,Drosophila_melanogaster(fruit_fly)
ENSHGL,Heterocephalus_glaber(Naked_mole-rat_female
ENSMUS,Mus_Musculus_(Mouse)
